,Name,ERA_current_year,SIERA,preds,IP
2,Gerrit Cole,2.16,2.75,2.745961373261795,199.2
0,Jacob deGrom,1.8,2.99,2.7835924946132646,195.0
82,Chris Sale,4.44,2.81,2.962192676388051,79.0
20,Max Scherzer,3.17,2.95,2.995900557758808,150.2
5,Justin Verlander,2.77,2.72,3.032973588706782,149.2
52,Tyler Glasnow,3.84,3.09,3.0378193497346495,58.2
3,Shane Bieber,2.61,2.99,3.0408134430220297,210.1
41,Lucas Giolito,3.61,3.4,3.147844893878862,177.0
10,Yu Darvish,2.94,2.93,3.1907261754897283,180.2
49,Brandon Woodruff,3.75,3.46,3.2202880993083682,110.1
18,Walker Buehler,3.08,3.39,3.268759208943991,154.2
7,Jack Flaherty,2.87,3.58,3.281320665369691,166.0
23,Dinelson Lamet,3.2,3.45,3.3343698802613084,132.1
17,Mike Clevinger,3.03,3.71,3.392779556262478,154.2
9,Lance Lynn,2.93,3.7,3.4268625262948373,212.0
53,Luis Castillo,3.84,3.81,3.454593551988144,173.1
43,Charlie Morton,3.65,3.56,3.46455295975981,155.1
45,Stephen Strasburg,3.67,3.63,3.5106434485854683,135.0
31,Aaron Nola,3.34,3.7,3.536447630034038,194.0
8,Hyun-Jin Ryu,2.91,3.82,3.539478404248413,163.2
44,Kenta Maeda,3.66,3.73,3.5487311667440027,130.1
60,Trevor Bauer,3.94,3.65,3.56500229264562,187.1
50,Max Fried,3.78,3.89,3.5825828040486067,150.0
11,Sonny Gray,2.95,3.92,3.582944730583994,165.0
58,Noah Syndergaard,3.9,4.04,3.5973946470880733,122.1
151,Kevin Gausman,5.56,3.44,3.597792931046021,69.2
28,Eduardo Rodriguez,3.28,4.36,3.6574733246086564,142.2
4,Clayton Kershaw,2.71,3.61,3.6750807085664055,172.2
21,Michael Pineda,3.18,3.88,3.679846965916178,104.2
24,Sean Manaea,3.24,3.92,3.696999066433887,77.2
141,Brendan McKay,5.4,4.2,3.7070235022943514,46.2
12,Zac Gallen,2.96,4.18,3.708526626988668,140.0
75,Frankie Montas,4.32,4.17,3.712143778119691,75.0
19,Aaron Civale,3.11,4.27,3.7162140268348196,115.2
1,Tony Gonsolin,1.84,4.47,3.718260714822414,58.2
25,Zack Greinke,3.25,4.02,3.7208723268997064,188.1
34,Patrick Corbin,3.41,3.96,3.724096945329397,179.1
97,Blake Snell,4.7,3.87,3.731055595587082,84.1
6,Dustin May,2.81,4.52,3.7455721985987345,64.0
114,Chris Archer,4.88,3.87,3.7506542644551644,72.0
37,Marcus Stroman,3.51,4.29,3.7576037838811485,115.1
63,Jose Berrios,4.0,4.36,3.7785857361050916,175.1
73,Chris Paddack,4.24,3.87,3.7798693471363696,133.2
90,Andrew Heaney,4.61,3.98,3.7871263951874026,146.1
155,Framber Valdez,5.61,4.05,3.7892641955909987,86.2
38,Kyle Hendricks,3.54,4.31,3.7920885853979156,172.2
77,Jesus Luzardo,4.36,3.94,3.7962199519858686,43.1
67,Dylan Bundy,4.03,4.17,3.8085703165932174,160.2
27,Carlos Carrasco,3.27,4.07,3.819742234368688,55.0
30,Julio Urias,3.33,4.41,3.825144774234322,54.0
94,Pablo Lopez,4.65,4.36,3.8369540329352048,100.2
59,Yonny Chirinos,3.9,4.28,3.8431648055266914,85.1
72,Elieser Hernandez,4.22,4.05,3.847556677033576,100.1
92,Jake Odorizzi,4.64,4.07,3.8477232268838035,110.2
22,Zack Wheeler,3.19,4.36,3.8516068929491616,169.1
32,Mike Soroka,3.4,4.46,3.872413355898581,137.2
47,Jose Urquidy,3.73,4.33,3.8887408152755483,50.2
105,Adrian Houser,4.75,4.25,3.8901402546010226,121.1
13,Rich Hill,2.96,4.45,3.890957521945201,51.2
87,James Paxton,4.59,4.09,3.8915120575580047,129.1
145,David Price,5.43,4.0,3.9073687402824966,59.2
138,German Marquez,5.32,4.07,3.9131243608304422,150.2
93,Joe Musgrove,4.64,4.03,3.913770211711677,132.0
81,Ryan Yarbrough,4.42,4.4,3.919105335553165,118.0
33,Randy Dobnak,3.41,4.55,3.921060926227548,66.0
127,Logan Webb,5.08,4.49,3.9267496176549717,85.0
84,Kris Bubic,4.5,4.68,3.9298950939754507,40.0
62,Miles Mikolas,4.0,4.29,3.9389819384597873,114.2
42,Cole Hamels,3.65,4.48,3.944635000342701,79.0
153,Vince Velasquez,5.58,4.02,3.946167827773283,98.1
133,Tyler Mahle,5.25,4.41,3.9739713081331565,104.2
54,Marco Gonzales,3.85,4.7,3.9989773623516074,187.0
95,Brady Singer,4.66,4.41,4.011357580832099,48.1
26,Dallas Keuchel,3.25,4.4,4.013300794447083,166.0
40,Alec Mills,3.59,4.55,4.0216013523728975,72.2
61,Homer Bailey,4.0,4.51,4.036600734665969,117.0
171,Mitch Keller,6.26,4.27,4.042232695120011,54.2
16,Joe Ross,3.02,5.25,4.044524564636382,44.2
128,Ross Stripling,5.11,4.26,4.057146842725294,74.0
140,Robbie Ray,5.4,4.3,4.066772723584067,151.2
119,Tyler Alexander,4.93,4.46,4.079148578440994,49.1
122,Reynaldo Lopez,5.0,4.77,4.085858984493976,133.1
35,Zach Plesac,3.45,4.69,4.087648652787174,151.1
96,Justus Sheffield,4.66,4.48,4.095163949454748,77.1
85,Joey Lucchesi,4.51,4.79,4.103814157109489,107.2
51,Chris Bassitt,3.8,4.69,4.104388009223296,147.0
111,Domingo German,4.83,4.09,4.108640387265946,76.1
165,Matthew Boyd,6.0,3.92,4.113471623134215,162.0
78,Jon Gray,4.39,4.66,4.118157913916397,123.0
89,Steven Brault,4.61,4.97,4.129971723569718,109.1
76,Mike Minor,4.34,4.63,4.136252689524811,178.1
29,Brad Keller,3.33,4.8,4.1431531996651785,138.0
109,Trevor Richards,4.78,4.81,4.1558259997666,75.1
108,Daniel Norris,4.77,4.48,4.155885091716713,94.1
98,Griffin Canning,4.71,4.61,4.158547408139535,101.1
139,Steven Matz,5.33,4.5,4.1726439533215585,131.2
57,Merrill Kelly,3.89,4.35,4.173715031104279,155.0
132,Jose Quintana,5.23,4.55,4.183745609770282,108.1
46,Sandy Alcantara,3.72,4.95,4.186676713675112,162.0
71,Anthony DeSclafani,4.18,4.48,4.192507424696708,142.0
135,Spencer Turnbull,5.3,4.91,4.21243824875127,127.1
15,Dakota Hudson,3.01,4.97,4.2155774783102,152.1
126,Zach Eflin,5.06,4.52,4.220616640640646,133.1
80,John Means,4.42,5.18,4.239857772985403,132.1
107,Masahiro Tanaka,4.76,4.46,4.241548504146304,145.2
148,Nathan Eovaldi,5.48,4.42,4.2447241985179005,70.2
176,Jhoulys Chacin,6.5,3.98,4.251138152806975,44.1
70,Gio Gonzalez,4.14,5.05,4.259336203785893,67.1
101,Dylan Cease,4.73,5.08,4.263026393583756,123.2
157,Cal Quantrill,5.69,4.57,4.264165168191744,74.1
39,Adam Wainwright,3.55,4.63,4.2743470105402075,159.2
106,Chase Anderson,4.75,4.88,4.280471700528036,132.2
170,Tommy Milone,6.22,4.22,4.281832726114849,59.1
143,Eric Lauer,5.42,5.01,4.289793626822919,96.1
48,Zach Davies,3.75,5.08,4.313180993252348,158.1
144,Drew Smyly,5.42,4.39,4.317836311913536,76.1
120,Michael Wacha,4.93,4.68,4.3231626297660695,91.1
147,Austin Voth,5.47,4.9,4.324493069240283,74.0
74,Mike Foltynewicz,4.28,4.83,4.326884951497337,82.0
175,Kolby Allard,6.48,5.45,4.32843138868736,75.0
102,Wade Miley,4.73,5.04,4.339624415164622,110.1
168,Rick Porcello,6.13,4.69,4.347707580483313,160.0
14,Taijuan Walker,2.98,4.91,4.348720934886053,45.1
156,Kyle Gibson,5.62,4.62,4.351696671884352,145.2
115,Jon Lester,4.9,4.59,4.3587112535930155,165.1
164,CC Sabathia,5.95,4.29,4.361888667339696,65.0
64,Alex Young,4.02,4.72,4.3641828028955985,100.2
100,Nick Pivetta,4.73,4.96,4.3647717041478495,45.2
137,Jake Arrieta,5.31,4.87,4.366524008286772,105.0
103,Madison Bumgarner,4.74,4.59,4.371477036108233,165.1
36,Cristian Javier,3.46,5.03,4.374390249147483,41.2
79,Danny Duffy,4.39,4.8,4.378810986105846,137.1
129,Tanner Roark,5.11,4.75,4.392142989965775,144.1
104,Tyler Beede,4.74,4.6,4.39257364984355,104.1
118,Garrett Richards,4.91,4.68,4.392792318148979,55.0
124,Asher Wojciechowski,5.02,4.85,4.400523147600127,113.0
149,Jakob Junis,5.48,4.65,4.403074235421798,131.1
99,Kyle Freeland,4.72,4.83,4.403986196250081,101.0
68,Mike Leake,4.05,4.77,4.41637085782793,124.1
86,Jason Vargas,4.53,5.15,4.417306122690148,113.1
123,Jaime Barria,5.01,4.8,4.432020686440563,70.0
88,Anibal Sanchez,4.6,5.04,4.435390046985605,160.1
55,Mike Fiers,3.87,5.22,4.439647339551608,163.0
65,Brett Anderson,4.02,4.81,4.440860479425924,154.1
113,Adam Plutko,4.86,5.25,4.448650205301959,109.1
158,Trent Thornton,5.8,5.19,4.453436581871201,85.1
131,Jordan Yamamoto,5.15,4.77,4.454200649332189,87.1
160,Patrick Sandoval,5.84,4.98,4.500926240563038,57.0
134,Daniel Ponce de Leon,5.29,5.22,4.504824543891724,51.0
110,J.A. Happ,4.8,4.92,4.511631562838197,129.1
91,Andrew Cashner,4.62,5.32,4.517906875689297,62.1
69,Jacob Waguespack,4.13,5.26,4.525037077017543,65.1
116,Mike Montgomery,4.91,4.74,4.526350972993263,66.0
66,Jeff Samardzija,4.02,5.01,4.530953018218162,138.2
117,Tyler Anderson,4.91,5.74,4.531319856969086,40.1
112,Johnny Cueto,4.85,5.02,4.537898034158784,68.2
173,Luke Weaver,6.39,4.68,4.550913307836783,43.2
142,Martin Perez,5.4,5.32,4.567717203677221,156.2
121,Julio Teheran,4.95,5.24,4.5863155729959795,132.2
178,Jordan Zimmermann,7.02,4.76,4.596467284703073,84.2
161,Jordan Lyles,5.9,5.07,4.597674457705365,114.1
163,Yusei Kikuchi,5.95,4.95,4.598606435204975,131.2
136,Caleb Smith,5.31,5.45,4.6025270114844545,98.1
125,Dario Agrazal,5.05,5.57,4.613511333938041,71.1
146,Shaun Anderson,5.45,5.45,4.631338215892799,67.2
150,Antonio Senzatela,5.49,5.22,4.637674238618442,139.1
162,Adrian Sampson,5.91,4.5,4.651785348066562,56.1
130,Jorge Lopez,5.12,5.13,4.6596646991289425,58.0
83,Ivan Nova,4.48,5.25,4.66385314411686,146.2
177,Trevor Williams,6.5,5.17,4.7055559089945,137.0
181,Ariel Jurado,7.62,5.28,4.74562922668163,80.1
56,Justin Dunn,3.89,6.6,4.776308216273046,41.2
167,Dillon Peters,6.12,5.43,4.783108464935213,57.1
182,Aaron Sanchez,7.7,5.4,4.79220146311985,71.1
152,Taylor Clarke,5.56,5.06,4.799233847915511,68.0
179,Aaron Brooks,7.11,5.45,4.827468814090642,50.2
180,Peter Lambert,7.25,5.51,4.873607567882962,89.1
183,Jose Suarez,7.92,5.25,4.876935868506549,69.1
172,Jeff Hoffman,6.38,5.33,4.918527300660443,55.0
174,Glenn Sparkman,6.44,5.73,4.988157657569802,110.1
169,Chi Chi Gonzalez,6.16,6.03,4.990011997539265,61.1
154,Erick Fedde,5.59,5.77,5.089797342762676,77.1
159,Ross Detwiler,5.84,5.55,5.1135855027416905,57.0
166,Gabriel Ynoa,6.12,5.87,5.265632206267208,60.1
